date,team1,team2,venue,toss_winner,toss_decision,match_type,season,winner
2017-01-20,Ireland,Scotland,Dubai International Cricket Stadium,Scotland,field,T20,2016/17,Ireland
2017-01-20,Afghanistan,Oman,Dubai (DSC),,,T20,2017,Afghanistan
2017-01-20,Afghanistan,Ireland,Dubai (DSC),,,T20,2017,Afghanistan
2017-01-22,South Africa,Sri Lanka,New Wanderers Stadium,South Africa,bat,T20,2016/17,Sri Lanka
2017-01-25,South Africa,Sri Lanka,Newlands,South Africa,bat,T20,2016/17,Sri Lanka
2017-01-26,India,England,Green Park,England,field,T20,2016/17,England
2017-01-29,India,England,"Vidarbha Cricket Association Stadium, Jamtha",England,field,T20,2016/17,India
2017-02-01,India,England,M Chinnaswamy Stadium,England,field,T20,2016/17,India
2017-02-17,Australia,Sri Lanka,Melbourne Cricket Ground,Sri Lanka,field,T20,2016/17,Sri Lanka
2017-02-17,New Zealand,South Africa,Eden Park,New Zealand,field,T20,2016/17,South Africa
2017-02-19,Australia,Sri Lanka,"Simonds Stadium, South Geelong",Sri Lanka,field,T20,2016/17,Sri Lanka
2017-02-22,Australia,Sri Lanka,Adelaide Oval,Sri Lanka,field,T20,2016/17,Australia
2017-03-08,Afghanistan,Ireland,Greater Noida,,,T20,2017,Afghanistan
2017-03-10,Afghanistan,Ireland,Greater Noida,,,T20,2017,Afghanistan
2017-03-12,Afghanistan,Ireland,Greater Noida,,,T20,2017,Afghanistan
2017-03-26,West Indies,Pakistan,"Kensington Oval, Bridgetown",Pakistan,field,T20,2017,Pakistan
2017-03-30,West Indies,Pakistan,"Queen's Park Oval, Port of Spain",West Indies,field,T20,2017,Pakistan
2017-04-01,West Indies,Pakistan,"Queen's Park Oval, Port of Spain",Pakistan,bat,T20,2017,West Indies
2017-04-02,West Indies,Pakistan,"Queen's Park Oval, Port of Spain",Pakistan,field,T20,2017,Pakistan
2017-04-04,Sri Lanka,Bangladesh,R Premadasa Stadium,Bangladesh,bat,T20,2016/17,Sri Lanka
2017-04-06,Sri Lanka,Bangladesh,R Premadasa Stadium,Bangladesh,bat,T20,2016/17,Bangladesh
2017-04-12,United Arab Emirates,Papua New Guinea,Sheikh Zayed Stadium,United Arab Emirates,field,T20,2017,United Arab Emirates
2017-04-14,United Arab Emirates,Papua New Guinea,Sheikh Zayed Stadium,Papua New Guinea,bat,T20,2017,United Arab Emirates
2017-04-14,United Arab Emirates,Papua New Guinea,Sheikh Zayed Stadium,Papua New Guinea,field,T20,2017,United Arab Emirates
2017-06-02,West Indies,Afghanistan,Basseterre,,,T20,2017,West Indies
2017-06-03,West Indies,Afghanistan,Basseterre,,,T20,2017,West Indies
2017-06-05,West Indies,Afghanistan,Basseterre,,,T20,2017,West Indies
2017-06-21,England,South Africa,The Rose Bowl,South Africa,bat,T20,2017,England
2017-06-23,England,South Africa,County Ground,England,field,T20,2017,South Africa
2017-06-25,England,South Africa,Sophia Gardens,South Africa,field,T20,2017,England
2017-07-09,West Indies,India,"Sabina Park, Kingston",West Indies,field,T20,2017,West Indies
2017-09-06,Sri Lanka,India,"R.Premadasa Stadium, Khettarama",India,field,T20,2017,India
2017-09-12,Pakistan,ICC World XI,Gaddafi Stadium,ICC World XI,field,T20,2017/18,Pakistan
2017-09-13,Pakistan,ICC World XI,Gaddafi Stadium,Pakistan,bat,T20,2017/18,ICC World XI
2017-09-15,Pakistan,ICC World XI,Gaddafi Stadium,ICC World XI,field,T20,2017/18,Pakistan
2017-09-16,West Indies,England,Riverside Ground,England,field,T20,2017,West Indies
2017-10-07,Australia,India,JSCA International Stadium Complex,India,field,T20,2017/18,India
2017-10-10,India,Australia,Barsapara Cricket Stadium,Australia,field,T20,2017/18,Australia
2017-10-26,Sri Lanka,Pakistan,Sheikh Zayed Stadium,Pakistan,field,T20,2017/18,Pakistan
2017-10-26,South Africa,Bangladesh,Mangaung Oval,South Africa,bat,T20,2017/18,South Africa
2017-10-27,Sri Lanka,Pakistan,Sheikh Zayed Stadium,Pakistan,field,T20,2017/18,Pakistan
2017-10-29,South Africa,Bangladesh,Senwes Park,Bangladesh,field,T20,2017/18,South Africa
2017-10-29,Pakistan,Sri Lanka,Gaddafi Stadium,Sri Lanka,field,T20,2017/18,Pakistan
2017-11-01,India,New Zealand,Arun Jaitley Stadium,New Zealand,field,T20,2017/18,India
2017-11-04,New Zealand,India,Saurashtra Cricket Association Stadium,New Zealand,bat,T20,2017/18,New Zealand
2017-11-07,India,New Zealand,Greenfield International Stadium,New Zealand,field,T20,2017/18,India
2017-12-20,India,Sri Lanka,Barabati Stadium,Sri Lanka,field,T20,2017/18,India
2017-12-22,India,Sri Lanka,Holkar Cricket Stadium,Sri Lanka,field,T20,2017/18,India
2017-12-24,Sri Lanka,India,Wankhede Stadium,India,field,T20,2017/18,India
2017-12-29,New Zealand,West Indies,Saxton Oval,West Indies,field,T20,2017/18,New Zealand
2018-01-01,New Zealand,West Indies,Bay Oval,West Indies,field,T20,2017/18,No Result
2018-01-03,New Zealand,West Indies,Bay Oval,New Zealand,bat,T20,2017/18,New Zealand
2018-01-22,Pakistan,New Zealand,Westpac Stadium,New Zealand,field,T20,2017/18,New Zealand
2018-01-25,Pakistan,New Zealand,Eden Park,Pakistan,bat,T20,2017/18,Pakistan
2018-01-28,Pakistan,New Zealand,Bay Oval,Pakistan,bat,T20,2017/18,Pakistan
2018-02-03,New Zealand,Australia,Sydney Cricket Ground,Australia,field,T20,2017/18,Australia
2018-02-05,Afghanistan,Zimbabwe,Sharjah,,,T20,2018,Afghanistan
2018-02-06,Afghanistan,Zimbabwe,Sharjah,,,T20,2018,Afghanistan
2018-02-07,England,Australia,Bellerive Oval,Australia,field,T20,2017/18,Australia
2018-02-10,England,Australia,Melbourne Cricket Ground,Australia,field,T20,2017/18,Australia
2018-02-13,New Zealand,England,Westpac Stadium,England,field,T20,2017/18,New Zealand
2018-02-15,Bangladesh,Sri Lanka,"Shere Bangla National Stadium, Mirpur",Bangladesh,bat,T20,2017/18,Sri Lanka
2018-02-16,New Zealand,Australia,Eden Park,New Zealand,bat,T20,2017/18,Australia
2018-02-18,Sri Lanka,Bangladesh,Sylhet International Cricket Stadium,Bangladesh,field,T20,2017/18,Sri Lanka
2018-02-18,England,New Zealand,Seddon Park,New Zealand,field,T20,2017/18,England
2018-02-18,India,South Africa,The Wanderers Stadium,South Africa,field,T20,2017/18,India
2018-02-21,New Zealand,Australia,Eden Park,New Zealand,bat,T20,2017/18,Australia
2018-02-21,India,South Africa,SuperSport Park,South Africa,field,T20,2017/18,South Africa
2018-02-24,India,South Africa,Newlands,South Africa,field,T20,2017/18,India
2018-03-06,India,Sri Lanka,"R.Premadasa Stadium, Khettarama",Sri Lanka,field,T20,2017/18,Sri Lanka
2018-03-08,Bangladesh,India,"R.Premadasa Stadium, Khettarama",India,field,T20,2017/18,India
2018-03-10,Sri Lanka,Bangladesh,"R.Premadasa Stadium, Khettarama",Bangladesh,field,T20,2017/18,Bangladesh
2018-03-12,Sri Lanka,India,"R.Premadasa Stadium, Khettarama",India,field,T20,2017/18,India
2018-03-14,India,Bangladesh,"R.Premadasa Stadium, Khettarama",Bangladesh,field,T20,2017/18,India
2018-03-16,Sri Lanka,Bangladesh,"R.Premadasa Stadium, Khettarama",Bangladesh,field,T20,2017/18,Bangladesh
2018-03-18,Bangladesh,India,"R.Premadasa Stadium, Khettarama",India,field,T20,2017/18,India
2018-04-01,Pakistan,West Indies,National Stadium,West Indies,field,T20,2018,Pakistan
2018-04-02,Pakistan,West Indies,National Stadium,Pakistan,bat,T20,2018,Pakistan
2018-04-03,West Indies,Pakistan,National Stadium,West Indies,bat,T20,2018,Pakistan
2018-05-31,West Indies,ICC World XI,Lord's,ICC World XI,field,T20,2018,West Indies
2018-06-03,Afghanistan,Bangladesh,Dehradun,,,T20,2018,Afghanistan
2018-06-05,Afghanistan,Bangladesh,Dehradun,,,T20,2018,Afghanistan
2018-06-07,Afghanistan,Bangladesh,Dehradun,,,T20,2018,Afghanistan
2018-06-12,Pakistan,Scotland,"Grange Cricket Club, Raeburn Place",Pakistan,bat,T20,2018,Pakistan
2018-06-12,Netherlands,Ireland,Hazelaarweg,Ireland,field,T20,2018,Netherlands
2018-06-13,Pakistan,Scotland,"Grange Cricket Club, Raeburn Place",Pakistan,bat,T20,2018,Pakistan
2018-06-13,Ireland,Netherlands,Hazelaarweg,Ireland,bat,T20,2018,Netherlands
2018-06-16,Ireland,Scotland,Sportpark Het Schootsveld,Ireland,bat,T20,2018,Ireland
2018-06-17,Scotland,Ireland,Sportpark Het Schootsveld,Scotland,bat,T20,2018,No Result
2018-06-19,Netherlands,Scotland,VRA Ground,Netherlands,bat,T20,2018,Scotland
2018-06-20,Scotland,Netherlands,VRA Ground,Scotland,bat,T20,2018,Scotland
2018-06-27,India,Ireland,"The Village, Malahide",Ireland,field,T20,2018,India
2018-06-27,England,Australia,Edgbaston,Australia,field,T20,2018,England
2018-06-29,India,Ireland,"The Village, Malahide",Ireland,field,T20,2018,India
2018-07-01,Pakistan,Zimbabwe,Harare Sports Club,Zimbabwe,field,T20,2018,Pakistan
2018-07-02,Pakistan,Australia,Harare Sports Club,Australia,field,T20,2018,Australia
2018-07-03,Australia,Zimbabwe,Harare Sports Club,Zimbabwe,field,T20,2018,Australia
2018-07-03,England,India,Old Trafford,India,field,T20,2018,India
2018-07-04,Zimbabwe,Pakistan,Harare Sports Club,Pakistan,field,T20,2018,Pakistan
2018-07-05,Pakistan,Australia,Harare Sports Club,Australia,field,T20,2018,Pakistan
2018-07-06,Zimbabwe,Australia,Harare Sports Club,Zimbabwe,bat,T20,2018,Australia
2018-07-06,India,England,Sophia Gardens,England,field,T20,2018,England
2018-07-08,Australia,Pakistan,Harare Sports Club,Australia,bat,T20,2018,Pakistan
2018-07-08,England,India,County Ground,India,field,T20,2018,India
2018-07-29,Netherlands,Nepal,Lord's,Nepal,field,T20,2018,No Result
2018-07-31,Bangladesh,West Indies,"Warner Park, Basseterre",West Indies,field,T20,2018,West Indies
2018-08-04,Bangladesh,West Indies,Central Broward Regional Park Stadium Turf Ground,West Indies,field,T20,2018,Bangladesh
2018-08-05,Bangladesh,West Indies,Central Broward Regional Park Stadium Turf Ground,Bangladesh,bat,T20,2018,Bangladesh
2018-08-14,South Africa,Sri Lanka,"R.Premadasa Stadium, Khettarama",South Africa,bat,T20,2018,Sri Lanka
2018-08-20,Ireland,Afghanistan,Bready,,,T20,2018,Afghanistan
2018-08-22,Ireland,Afghanistan,Bready,,,T20,2018,Afghanistan
2018-10-09,South Africa,Zimbabwe,Buffalo Park,South Africa,bat,T20,2018/19,South Africa
2018-10-12,Zimbabwe,South Africa,Senwes Park,Zimbabwe,bat,T20,2018/19,South Africa
2018-10-22,United Arab Emirates,Australia,Tolerance Oval,United Arab Emirates,bat,T20,2018/19,Australia
2018-10-24,Pakistan,Australia,Sheikh Zayed Stadium,Australia,field,T20,2018/19,Pakistan
2018-10-26,Pakistan,Australia,Dubai International Cricket Stadium,Pakistan,bat,T20,2018/19,Pakistan
2018-10-27,England,Sri Lanka,"R.Premadasa Stadium, Khettarama",Sri Lanka,field,T20,2018/19,England
2018-10-28,Pakistan,Australia,Dubai International Cricket Stadium,Pakistan,bat,T20,2018/19,Pakistan
2018-10-31,Pakistan,New Zealand,Sheikh Zayed Stadium,Pakistan,bat,T20,2018/19,Pakistan
2018-11-02,New Zealand,Pakistan,Dubai International Cricket Stadium,New Zealand,bat,T20,2018/19,Pakistan
2018-11-04,West Indies,India,Eden Gardens,India,field,T20,2018/19,India
2018-11-04,Pakistan,New Zealand,Dubai International Cricket Stadium,Pakistan,bat,T20,2018/19,Pakistan
2018-11-06,India,West Indies,Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium,West Indies,field,T20,2018/19,India
2018-11-11,West Indies,India,"MA Chidambaram Stadium, Chepauk",West Indies,bat,T20,2018/19,India
2018-11-17,South Africa,Australia,Carrara Oval,Australia,field,T20,2018/19,South Africa
2018-11-21,Australia,India,"Brisbane Cricket Ground, Woolloongabba",India,field,T20,2018/19,Australia
2018-11-23,Australia,India,Melbourne Cricket Ground,India,field,T20,2018/19,No Result
2018-11-25,Australia,India,Sydney Cricket Ground,Australia,bat,T20,2018/19,India
2018-12-17,Bangladesh,West Indies,Sylhet International Cricket Stadium,Bangladesh,bat,T20,2018/19,West Indies
2018-12-20,Bangladesh,West Indies,"Shere Bangla National Stadium, Mirpur",West Indies,field,T20,2018/19,Bangladesh
2018-12-22,Bangladesh,West Indies,"Shere Bangla National Stadium, Mirpur",Bangladesh,field,T20,2018/19,West Indies
2019-01-11,New Zealand,Sri Lanka,Eden Park,Sri Lanka,field,T20,2018/19,New Zealand
2019-01-31,United Arab Emirates,Nepal,ICC Academy,Nepal,field,T20,2018/19,United Arab Emirates
2019-02-01,United Arab Emirates,Nepal,ICC Academy,United Arab Emirates,bat,T20,2018/19,Nepal
2019-02-01,South Africa,Pakistan,Newlands,Pakistan,field,T20,2018/19,South Africa
2019-02-03,United Arab Emirates,Nepal,ICC Academy,United Arab Emirates,field,T20,2018/19,Nepal
2019-02-03,South Africa,Pakistan,The Wanderers Stadium,Pakistan,field,T20,2018/19,South Africa
2019-02-06,South Africa,Pakistan,SuperSport Park,South Africa,field,T20,2018/19,Pakistan
2019-02-06,New Zealand,India,Westpac Stadium,India,field,T20,2018/19,New Zealand
2019-02-08,New Zealand,India,Eden Park,New Zealand,bat,T20,2018/19,India
2019-02-10,New Zealand,India,Seddon Park,India,field,T20,2018/19,New Zealand
2019-02-13,Oman,Ireland,Al Amerat Cricket Ground Oman Cricket (Ministry Turf 1),Oman,field,T20,2018/19,Ireland
2019-02-13,Netherlands,Scotland,Al Amerat Cricket Ground Oman Cricket (Ministry Turf 1),Netherlands,field,T20,2018/19,Netherlands
2019-02-15,Ireland,Scotland,Al Amerat Cricket Ground Oman Cricket (Ministry Turf 1),Scotland,field,T20,2018/19,Scotland
2019-02-15,Oman,Netherlands,Al Amerat Cricket Ground Oman Cricket (Ministry Turf 1),Netherlands,field,T20,2018/19,Netherlands
2019-02-17,Ireland,Netherlands,Al Amerat Cricket Ground Oman Cricket (Ministry Turf 1),Ireland,field,T20,2018/19,Ireland
2019-02-17,Oman,Scotland,Al Amerat Cricket Ground Oman Cricket (Ministry Turf 1),Scotland,field,T20,2018/19,Scotland
2019-02-21,Afghanistan,Ireland,Dehradun,,,T20,2019,Afghanistan
2019-02-23,Afghanistan,Ireland,Dehradun,,,T20,2019,Afghanistan
2019-02-24,India,Australia,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,Australia,field,T20,2018/19,Australia
2019-02-24,Afghanistan,Ireland,Dehradun,,,T20,2019,Afghanistan
2019-02-27,India,Australia,M.Chinnaswamy Stadium,Australia,field,T20,2018/19,Australia
2019-03-05,West Indies,England,"Darren Sammy National Cricket Stadium, St Lucia",England,field,T20,2018/19,England
2019-03-08,West Indies,England,"Warner Park, St Kitts",West Indies,field,T20,2018/19,England
2019-03-10,West Indies,England,"Warner Park, St Kitts",West Indies,bat,T20,2018/19,England
2019-03-15,United Arab Emirates,United States of America,ICC Academy,United Arab Emirates,field,T20,2018/19,No Result
2019-03-16,United Arab Emirates,United States of America,ICC Academy,United Arab Emirates,bat,T20,2018/19,United Arab Emirates
2019-03-19,South Africa,Sri Lanka,Newlands,South Africa,field,T20,2018/19,No Result
2019-03-22,South Africa,Sri Lanka,SuperSport Park,Sri Lanka,field,T20,2018/19,South Africa
2019-03-22,Papua New Guinea,Philippines,Amini Park,Philippines,field,T20,2018/19,Papua New Guinea
2019-03-22,Papua New Guinea,Vanuatu,Amini Park,Vanuatu,bat,T20,2018/19,Papua New Guinea
2019-03-23,Philippines,Vanuatu,Amini Park,Vanuatu,bat,T20,2018/19,Vanuatu
2019-03-23,Papua New Guinea,Philippines,Amini Park,Papua New Guinea,bat,T20,2018/19,No Result
2019-03-24,Philippines,Vanuatu,Amini Park,Vanuatu,field,T20,2018/19,Philippines
2019-03-24,South Africa,Sri Lanka,The Wanderers Stadium,Sri Lanka,field,T20,2018/19,South Africa
2019-03-24,Papua New Guinea,Vanuatu,Amini Park,Vanuatu,bat,T20,2018/19,Papua New Guinea
2019-05-05,England,Pakistan,Sophia Gardens,Pakistan,bat,T20,2019,England
2019-05-20,Ghana,Namibia,Kyambogo Cricket Oval,Namibia,field,T20,2019,Namibia
2019-05-20,Uganda,Botswana,Lugogo Cricket Oval,Botswana,field,T20,2019,Uganda
2019-05-21,Botswana,Nigeria,Lugogo Cricket Oval,Nigeria,bat,T20,2019,Nigeria
2019-05-21,Ghana,Kenya,Kyambogo Cricket Oval,Ghana,field,T20,2019,Kenya
2019-05-21,Uganda,Namibia,Kyambogo Cricket Oval,Namibia,bat,T20,2019,Namibia
2019-05-22,Uganda,Kenya,Lugogo Cricket Oval,Kenya,bat,T20,2019,Kenya
2019-05-22,Botswana,Namibia,Kyambogo Cricket Oval,Botswana,bat,T20,2019,Namibia
2019-05-22,Ghana,Nigeria,Kyambogo Cricket Oval,Ghana,field,T20,2019,Nigeria
2019-05-23,Uganda,Ghana,Kyambogo Cricket Oval,Ghana,bat,T20,2019,Uganda
2019-05-25,Germany,Italy,Sportpark Maarschalkerweerd,Italy,field,T20,2019,Italy
2019-06-15,Guernsey,Germany,King George V Sports Ground,Germany,field,T20,2019,Germany
2019-06-16,Denmark,Jersey,King George V Sports Ground,Denmark,field,T20,2019,Jersey
2019-06-16,Guernsey,Italy,College Field,Guernsey,field,T20,2019,Italy
2019-06-16,Jersey,Norway,King George V Sports Ground,Jersey,bat,T20,2019,Jersey
2019-06-17,Denmark,Norway,King George V Sports Ground,Denmark,bat,T20,2019,Denmark
2019-06-18,Guernsey,Denmark,King George V Sports Ground,Guernsey,field,T20,2019,No Result
2019-06-19,Denmark,Germany,King George V Sports Ground,Germany,field,T20,2019,Germany
2019-06-19,Italy,Jersey,College Field,Italy,field,T20,2019,Jersey
2019-06-19,Guernsey,Norway,King George V Sports Ground,Guernsey,field,T20,2019,Guernsey
2019-06-20,Guernsey,Denmark,King George V Sports Ground,Denmark,field,T20,2019,Guernsey
2019-06-20,Denmark,Italy,King George V Sports Ground,Denmark,bat,T20,2019,Denmark
2019-06-20,Germany,Norway,College Field,Germany,field,T20,2019,Germany
2019-06-20,Germany,Jersey,College Field,Germany,field,T20,2019,Germany
2019-06-23,Netherlands,Zimbabwe,Hazelaarweg,Zimbabwe,field,T20,2019,Netherlands
2019-06-24,Malaysia,Thailand,Kinrara Academy Oval,Malaysia,field,T20,2019,Malaysia
2019-06-25,Netherlands,Zimbabwe,Hazelaarweg,Netherlands,bat,T20,2019,No Result
2019-06-26,Maldives,Thailand,Kinrara Academy Oval,Thailand,bat,T20,2019,Maldives
2019-06-27,Malaysia,Thailand,Kinrara Academy Oval,Thailand,bat,T20,2019,Malaysia
2019-06-28,Malaysia,Maldives,Kinrara Academy Oval,Malaysia,bat,T20,2019,No Result
2019-06-29,Maldives,Thailand,Kinrara Academy Oval,Thailand,field,T20,2019,Thailand
2019-07-12,Ireland,Zimbabwe,"Bready Cricket Club, Magheramason",Ireland,field,T20,2019,Ireland
2019-07-13,Malaysia,Nepal,Kinrara Academy Oval,Malaysia,bat,T20,2019,Nepal
2019-07-14,Malaysia,Nepal,Kinrara Academy Oval,Nepal,bat,T20,2019,Nepal
2019-07-14,Ireland,Zimbabwe,Bready,Zimbabwe,field,T20,2019,Zimbabwe
2019-07-22,Singapore,Qatar,Indian Association Ground,Singapore,bat,T20,2019,Singapore
2019-07-22,Kuwait,Malaysia,Indian Association Ground,Malaysia,bat,T20,2019,Malaysia
2019-07-23,Nepal,Qatar,Indian Association Ground,Nepal,bat,T20,2019,Qatar
2019-07-24,Malaysia,Nepal,Indian Association Ground,Nepal,field,T20,2019,Nepal
2019-07-26,Kuwait,Qatar,Indian Association Ground,Qatar,field,T20,2019,Kuwait
2019-07-26,Singapore,Malaysia,Indian Association Ground,Malaysia,bat,T20,2019,Singapore
2019-07-27,Kuwait,Nepal,Indian Association Ground,Nepal,field,T20,2019,Nepal
2019-07-27,Malaysia,Qatar,Indian Association Ground,Malaysia,bat,T20,2019,Qatar
2019-07-28,Singapore,Nepal,Indian Association Ground,Singapore,bat,T20,2019,Singapore
2019-08-03,India,West Indies,Central Broward Regional Park Stadium Turf Ground,India,field,T20,2019,India
2019-08-04,India,West Indies,Central Broward Regional Park Stadium Turf Ground,India,bat,T20,2019,India
2019-08-05,Netherlands,United Arab Emirates,VRA Ground,United Arab Emirates,field,T20,2019,United Arab Emirates
2019-08-06,West Indies,India,"Providence Stadium, Guyana",India,field,T20,2019,India
2019-08-08,Netherlands,United Arab Emirates,Sportpark Westvliet,Netherlands,bat,T20,2019,United Arab Emirates
2019-08-18,Canada,Cayman Islands,"White Hill Field, Sandys Parish",Canada,bat,T20,2019,Canada
2019-08-18,Bermuda,United States of America,"White Hill Field, Sandys Parish",Bermuda,bat,T20,2019,Bermuda
2019-08-19,Namibia,Botswana,United Cricket Club Ground,Botswana,field,T20,2019,Namibia
2019-08-19,Cayman Islands,United States of America,National Stadium,United States of America,field,T20,2019,United States of America
2019-08-19,Bermuda,Canada,National Stadium,Bermuda,bat,T20,2019,No Result
2019-08-20,Namibia,Botswana,United Cricket Club Ground,Botswana,field,T20,2019,Namibia
2019-08-21,Bermuda,Cayman Islands,"White Hill Field, Sandys Parish",Cayman Islands,bat,T20,2019,Bermuda
2019-08-21,Canada,United States of America,"White Hill Field, Sandys Parish",United States of America,bat,T20,2019,Canada
2019-08-22,Canada,Cayman Islands,"White Hill Field, Sandys Parish",Canada,field,T20,2019,Canada
2019-08-22,United States of America,Bermuda,Bermuda National Stadium,Bermuda,field,T20,2019,Bermuda
2019-08-22,Namibia,Botswana,United Cricket Club Ground,Namibia,bat,T20,2019,Namibia
2019-08-23,Namibia,Botswana,United Cricket Club Ground,Botswana,bat,T20,2019,Namibia
2019-08-24,Cayman Islands,United States of America,"White Hill Field, Sandys Parish",Cayman Islands,bat,T20,2019,United States of America
2019-08-25,Canada,United States of America,"White Hill Field, Sandys Parish",United States of America,field,T20,2019,Canada
2019-08-25,Bermuda,Cayman Islands,"White Hill Field, Sandys Parish",Cayman Islands,bat,T20,2019,Bermuda
2019-09-01,Sri Lanka,New Zealand,Pallekele International Cricket Stadium,Sri Lanka,bat,T20,2019,New Zealand
2019-09-03,Sri Lanka,New Zealand,Pallekele International Cricket Stadium,Sri Lanka,bat,T20,2019,New Zealand
2019-09-06,Sri Lanka,New Zealand,Pallekele International Cricket Stadium,Sri Lanka,bat,T20,2019,Sri Lanka
2019-09-13,Bangladesh,Zimbabwe,"Shere Bangla National Stadium, Mirpur",Bangladesh,field,T20,2019,Bangladesh
2019-09-14,Afghanistan,Zimbabwe,Mirpur,,,T20,2019,Afghanistan
2019-09-15,Bangladesh,Afghanistan,Mirpur,,,T20,2019,Afghanistan
2019-09-16,Netherlands,Scotland,"The Village, Malahide",Netherlands,field,T20,2019,Scotland
2019-09-17,Ireland,Scotland,"The Village, Malahide",Scotland,bat,T20,2019,Ireland
2019-09-18,Bangladesh,Zimbabwe,Zahur Ahmed Chowdhury Stadium,Zimbabwe,field,T20,2019,Bangladesh
2019-09-18,Ireland,Netherlands,"The Village, Malahide",Ireland,bat,T20,2019,Netherlands
2019-09-18,India,South Africa,"Punjab Cricket Association IS Bindra Stadium, Mohali",India,field,T20,2019/20,India
2019-09-19,Netherlands,Scotland,"The Village, Malahide",Netherlands,bat,T20,2019,Scotland
2019-09-20,Afghanistan,Zimbabwe,Chattogram,,,T20,2019,Zimbabwe
2019-09-21,Bangladesh,Afghanistan,Chattogram,,,T20,2019,Bangladesh
2019-09-22,India,South Africa,M.Chinnaswamy Stadium,India,bat,T20,2019/20,South Africa
2019-09-27,Nepal,Zimbabwe,Indian Association Ground,Nepal,bat,T20,2019/20,Zimbabwe
2019-09-28,Singapore,Nepal,Indian Association Ground,Singapore,bat,T20,2019/20,Nepal
2019-09-29,Singapore,Zimbabwe,Indian Association Ground,Singapore,bat,T20,2019/20,Singapore
2019-09-29,Malaysia,Vanuatu,Kinrara Academy Oval,Vanuatu,bat,T20,2019/20,Vanuatu
2019-10-01,Malaysia,Vanuatu,Kinrara Academy Oval,Vanuatu,bat,T20,2019/20,Vanuatu
2019-10-01,Nepal,Zimbabwe,Indian Association Ground,Nepal,field,T20,2019/20,Zimbabwe
2019-10-02,Malaysia,Vanuatu,Kinrara Academy Oval,Malaysia,bat,T20,2019/20,Malaysia
2019-10-03,Malaysia,Vanuatu,Kinrara Academy Oval,Malaysia,bat,T20,2019/20,Vanuatu
2019-10-03,Singapore,Zimbabwe,Indian Association Ground,Zimbabwe,field,T20,2019/20,Zimbabwe
2019-10-04,Malaysia,Vanuatu,Kinrara Academy Oval,Malaysia,bat,T20,2019/20,Malaysia
2019-10-05,Pakistan,Sri Lanka,Gaddafi Stadium,Pakistan,field,T20,2019/20,Sri Lanka
2019-10-05,Ireland,Netherlands,Al Amerat Cricket Ground Oman Cricket (Ministry Turf 1),Ireland,field,T20,2019/20,Ireland
2019-10-06,Hong Kong,Nepal,Al Amerat Cricket Ground Oman Cricket (Ministry Turf 1),Nepal,field,T20,2019/20,Nepal
2019-10-06,Oman,Ireland,Al Amerat Cricket Ground Oman Cricket (Ministry Turf 1),Ireland,field,T20,2019/20,Oman
2019-10-07,Pakistan,Sri Lanka,Gaddafi Stadium,Sri Lanka,bat,T20,2019/20,Sri Lanka
2019-10-07,Hong Kong,Ireland,Al Amerat Cricket Ground Oman Cricket (Ministry Turf 1),Ireland,bat,T20,2019/20,Ireland
2019-10-07,Nepal,Netherlands,Al Amerat Cricket Ground Oman Cricket (Ministry Turf 1),Nepal,field,T20,2019/20,Nepal
2019-10-09,Pakistan,Sri Lanka,Gaddafi Stadium,Sri Lanka,bat,T20,2019/20,Sri Lanka
2019-10-09,Oman,Netherlands,Al Amerat Cricket Ground Oman Cricket (Ministry Turf 1),Netherlands,bat,T20,2019/20,Oman
2019-10-09,Ireland,Nepal,Al Amerat Cricket Ground Oman Cricket (Ministry Turf 1),Ireland,bat,T20,2019/20,Ireland
2019-10-10,Hong Kong,Netherlands,Al Amerat Cricket Ground Oman Cricket (Ministry Turf 1),Hong Kong,field,T20,2019/20,Netherlands
2019-10-10,Oman,Nepal,Al Amerat Cricket Ground Oman Cricket (Ministry Turf 1),Oman,field,T20,2019/20,Oman
2019-10-18,Scotland,Singapore,ICC Academy,Scotland,field,T20,2019/20,Singapore
2019-10-18,United Arab Emirates,Oman,Sheikh Zayed Stadium,Oman,field,T20,2019/20,Oman
2019-10-18,Kenya,Netherlands,ICC Academy,Netherlands,bat,T20,2019/20,Netherlands
2019-10-18,Hong Kong,Ireland,Sheikh Zayed Stadium,Hong Kong,bat,T20,2019/20,Ireland
2019-10-19,Bermuda,Papua New Guinea,ICC Academy,Papua New Guinea,field,T20,2019/20,Papua New Guinea
2019-10-19,Jersey,Nigeria,Sheikh Zayed Stadium,Jersey,bat,T20,2019/20,Jersey
2019-10-19,Namibia,Netherlands,ICC Academy,Netherlands,bat,T20,2019/20,Netherlands
2019-10-19,Kenya,Scotland,ICC Academy Ground No 2,Scotland,bat,T20,2019/20,Scotland
2019-10-19,United Arab Emirates,Ireland,Sheikh Zayed Stadium,United Arab Emirates,field,T20,2019/20,United Arab Emirates
2019-10-20,Namibia,Papua New Guinea,ICC Academy Ground No 2,Papua New Guinea,bat,T20,2019/20,Papua New Guinea
2019-10-20,Canada,Jersey,Tolerance Oval,Jersey,field,T20,2019/20,Canada
2019-10-20,Bermuda,Singapore,ICC Academy Ground No 2,Bermuda,bat,T20,2019/20,Singapore
